NumPlanes,LargestPlaneCount,AveragePlaneCount,AverageNumVertsPerPlane,AverageTextureSize,memManagementUS,preprocessingUS,segmentationUS,quadtreeUS,PipelineUS
0,0,0,0,0,553,1641,1908,162,4264
0,0,0,0,0,581,1652,1831,148,4212
0,0,0,0,0,597,1650,1837,131,4215
0,0,0,0,0,634,1689,1846,158,4327
1,21732,21732,19999,524288,555,1640,1796,3242,7233
1,2685,2685,6934,1048576,2078,2021,1877,4645,10621
0,0,0,0,0,2605,1986,1805,140,6536
0,0,0,0,0,557,1650,1820,146,4173
0,0,0,0,0,558,1664,1840,134,4196
0,0,0,0,0,571,1658,1871,133,4233
0,0,0,0,0,572,1650,1854,145,4221
1,27103,27103,12414,1048576,601,1729,2803,5276,10409
1,32663,32663,14413,1048576,6076,1963,2062,5794,15895
1,48450,48450,18721,1048576,5906,1956,1990,5027,14879
1,52750,52750,20855,1048576,2662,1926,1993,5501,12082
1,45614,45614,21349,1048576,2814,2112,1982,5801,12709
1,55809,55809,19463,1048576,2876,2245,2044,4997,12162
1,55219,55219,20408,1048576,2956,2069,2243,5671,12939
1,44617,44617,21727,1048576,6478,1875,2099,5676,16128
1,42769,42769,19978,1048576,2670,2006,2149,7244,14069
1,52051,52051,19304,1048576,3012,2036,2158,5369,12575
1,54530,54530,19534,1048576,6147,1979,2139,6393,16658
1,35004,35004,17224,1048576,2640,1970,2268,5798,12676
1,35232,35232,15537,1048576,3690,2306,2249,5544,13789
1,46366,46366,17859,1048576,3301,2115,2196,5692,13304
1,18447,18447,4998,524288,3060,1920,2239,3438,10657
1,28201,28201,15475,1048576,1786,1738,2497,5641,11662
1,39856,39856,5654,262144,3215,2132,2200,2419,9966
1,47684,47684,5552,262144,1298,1694,2180,1864,7036
1,52287,52287,5263,262144,1647,1866,2291,2234,8038
1,56400,56400,5853,524288,1261,1657,2294,2878,8090
1,60700,60700,6472,524288,1745,1684,2137,2904,8470
1,63916,63916,6177,524288,1813,1683,2121,2845,8462
1,65274,65274,7342,524288,1666,1862,2079,2859,8466
1,68222,68222,7193,524288,1879,1753,2150,2993,8775
1,69976,69976,7264,524288,1764,1750,2139,2986,8639
1,71521,71521,7103,524288,2535,1765,2162,3123,9585
1,73541,73541,7428,524288,2126,1731,2117,3047,9021
